ID,Type,Original line,The translation
164,Speech (Player),The door is sealed.  I need to unlock it from the control room.,De deur is afgesloten. Ik moet het ontgrendelen van de controle kamer.
165,Speech (Player),The control room is on the right.,De controle kamer is naar rechts.
166,Speech (Player),"A pipe, this could be useful.","Een pijp, dit kan handig zijn."
167,Speech (Player),"Alright, lets go get the remaining custards before they do any more damage.","Oke, laten we de overige vlaams krijgen voordat ze meer schade doen."
168,Speech (Player),"Ok, now time to unlock the storage room door.  The door controls should be in here somewhere.","Oké, nu tijd om de deur van de berging te ontgrendelen. De deurbedieningen moeten ergens ergens zijn."
169,Speech (Player),There is a pipe missing here...,Er ontbreekt hier een pijp ...
170,Speech (Player),"Hmm, nothing happened... I should check the pipeline.","Hmm, er is niets gebeurd ... ik moet de pipeline controleren."
171,Speech (Player),Alright... Now I need to apply maximum pressure into the main pipeline.,Oke ... Nu moet ik de maximale druk in de hoofdpijpleiding toepassen.
172,Speech (Player),The meter dial will be deep in the red zone once this is complete.,De meter draaiknop zal diep in de rode zone zijn zodra dit klaar is.
173,Speech (Player),The meter dial will be in the red zone once this is complete.,De meter draait in de rode zone zodra deze is voltooid.
174,Speech (Player),"That should do it, now lets go get that night vision camera.","Dat zou het moeten doen, laten we nu die nachtvisiecamera krijgen."
175,Speech (Narrator),(COULD NOT CONNECT TO SATELLITE STATION),(KAN NIET VERBINDEN MET SATELLITE STATION)
176,Speech (Player),"Dang it, For some reason I can't contact the satellite station for help...","Verdorie ,Om een of andere reden kan ik niet contact opnemen met het satellietstation voor hulp..."
177,Speech (Player),It looks like I'm on my own for now.,Het lijkt me erop ik nu voor mezelf ben.
178,Speech (Player),"I wont be able to get help from here, I'll need to go to the satellite station and tell everyone what happened.","Ik kan hier niet hulp krijgen, ik moet naar het satellite station gaan en iedereen vertellen wat er gebeurd is."
179,Speech (Player),Hmm...,Hmm...
180,Speech (Player),"Pressure is at maximum, I should be able to open the control room door now.","De druk is maximaal, ik zou nu de deur van de controle kamer kunnen openen."
181,Hotspot,Night Vision Camera,Nacht Visier Camera
182,Hotspot,Missing Pipe,Ontbrekende Pijp
183,Hotspot,Door Controls,Deur Controles
184,Hotspot,Pipe,Pijp
185,Hotspot,Turn Valve,Klep Draaien
186,Hotspot,Pipe System,Pijp Systeem
187,Speech (Player),"Tinky Winky is still around, I need to be careful...","Tinky Winky zwerft nog steeds rond, ik moet voorzichtig zijn..."
188,Speech (Player),"Tinky winky, snap out of it! This isn't you..","Tinky winky, snap er uit! Dit ben jij niet..."
189,Speech (Player),Oh my god...,Oh mijn god...
190,Speech (Player),I need to get to the satellite station through the mountains or through the cave NOW!,Ik moet naar het satellietstation door de bergen of door de grot NU!
191,Speech (Player),Where should I go look for custards next?,Waar moet ik nu zoeken voor de custards?
192,Speech (Player),Hmm... no custard here.  Maybe it's outside the house.,Hmm ... geen custard. Misschien is het buiten het huis.
193,Speech (Player),The custard should be around here somewhere.,De custard zal hier ergens zijn.
194,Speech (Player),"Ok, a custard should be somewhere in this area...","Oke, een custard zal ergens in dit gebied zijn..."
195,Speech (Player),This path leads to the lake.  Let's hope I don't run into Tinky Winky...,Deze weg leidt naar het bos. Ik hoop dat ik Tinky Winky niet tegen kom...
196,Speech (Player),Ah ha! The first custard.  According to my computer there should be four more custards in the area.,Ah ha! De eerste custard. Volgens mijn computer zouden er vier meer custards moeten zijn in de omgeving.
197,Speech (Player),I hope I can get them before it's too late...,Ik hoop dat ik ze kan krijgen voordat het te laat is...
198,Speech (Player),"The entrance to the cave, there should be a custard around here somewhere...","De ingang naar de grot, er zou hier ergens een custard moeten zijn..."
199,Speech (Player),...I'm so sorry....,"...Het spijt me zeer.... "
200,Speech (Player),"If I'm correct, there should be a custard up ahead.","Als ik juist ben, moet er een custard ergen voorop zijn."
201,Speech (Player),"The sooner I get these custards, the sooner I can go get help from the satellite station...","Hoe eerder ik deze custards krijgt, hoe eerder ik kan gaan, hulp krijgen van het satellite station..."
202,Hotspot,Custard,Custard
203,Hotspot,Custard,Custard
204,Hotspot,Custard,Custard
205,Hotspot,Custard,Custard
206,Hotspot,Custard,Custard
207,DialogueOption,Last known location of Po,Laatst bekende locatie van Po
208,DialogueOption,Lake,Bos
209,DialogueOption,Cave,Grot
210,DialogueOption,Teletubby house,Teletubbie Huis
211,Speech (Player),This cave is full of dead ends...,Deze grot is vol doodlopend...
212,Speech (Player),Not again!,Niet alweer!
213,Speech (Player),"Finally, the exit!","Eindelijk, de uitgang!"
214,Speech (Player),Just a little further...,Nog een beetje verder...
215,Speech (Player),What is that thing!?,"Wat is dat ding!? "
216,Speech (Player),"I need to get to the other side of this cave, it will lead to the outskirts.","Ik moet naar de andere kant van deze grot komen, het zal naar de outskirts leiden."
217,Speech (Player),I can't believe Tinky Winky turned into a monster...,Ik kan niet geloven dat Tinky Winky veranderd is in een monster...
218,Speech (Player),I'm surprised this cave hasn't collapsed yet...,Ik ben verbaasd dat deze grot nog niet ineengestort is...
219,Speech (Player),What was that? ...-I should be careful.,Wat was dat? ... -Ik moet voorzichtig zijn
220,Speech (Player),"Day 22. They didn't find out about the journal, but I don't know how long I can hide it, they almost find it last time.","Dag 22. Ze konden niet weten over het tijdschrift, maar ik weet niet hoe lang ik het kan verstoppen, ze vinden het bijna de laatste keer."
221,Speech (Player),"Anyway, testing has been painful lately, they made me-...","In ieder geval , testen was best wel pijnlijk eigenlijk, ik moest-..."
,"Anyway, testing has been painful lately, they made me-...",,"In ieder geval, testen"
,,,
222,Speech (Player),...-The rest of the note is ripped.,... De rest van de notitie is gescheurd.
223,Speech (Player),Day 1. Today I decided to write a journal to tell my adventures with the bestest friends ever!,Dag 1. Vandaag heb ik besloten om een tijdschrift te schrijven om mijn avonturen te vertellen met de beste vrienden ooit!
224,Speech (Player),These coat men brought us papers and crayons to draw what we want...,Deze jas mannen brachten ons papieren en kleurpotloden om te trekken wat we willen...
225,Speech (Player),...and we drew the best friend trio!,...en we trokken het beste vriend-trio!
226,Speech (Player),"They are my only but best friends, and I love them!","Zij zijn mijn enige maar beste vrienden, en ik hou van hen!"
227,Speech (Player),"I hear coat men, I must hide the journal, they will punish me with electricity if they... find out.","Ik hoor jasmensen, ik moet het dagboek verbergen, ze zullen me met elektriciteit straffen als ze ... ontdekken."
228,Speech (Player),There is no way I can jump across that.,Ik kan hier totaal niet overheen springen.
229,Speech (Player),Stop ripping my journals.,Stop met het kapot maken van mijn tijdschriften.
230,Speech (Player),Day 54. They found my journal and ripped it apart! 22 days thrown to the trash...,Dag 54. Ze hebben mijn tijdschrift gevonden en uit elkaar gescheurd! 22 dagen gegooid naar de prullenbak ...
231,Speech (Player),"In other news, 53 has been feeling sick! He feels awful, but the coat men won't help!","In ander nieuws is 53 ziek geweest! Hij voelt zich vreselijk, maar de jasmensen zullen het niet helpen!"
232,Speech (Player),"This is sad, I hope he gets better!","Dit is verdrietig, ik hoop dat hij beter wordt!"
233,Speech (Player),I wonder when will they give us real names...,Ik vraag me af wanneer zullen ze ons echte namen geven...
234,Speech (Player),"That was close, I don't think he can get me in here...","Dat was dichtbij, ik denk niet dat hij me hier kan binnengaan krijgen..."
235,Speech (Player),"I need to get to the other side of this cave, it will lead to the outskirts.","Ik moet naar de andere kant van deze grot komen, het zal naar de outskirts leiden."
236,Speech (Player),Day ?????????. What day is it?,Dag ?????????. Welke dag is het?
237,Speech (Player),They're gone! ******* turned into a monster!,Ze zijn weg! ******* veranderde in een monster!
238,Speech (Player),******* ran away and I might not see him ever again. I miss them.,******* rende weg en ik zie hem nooit meer. Ik mis ze.
239,Speech (Player),"Oh god, what is happenin-","Oh god, wat gebeu-"
240,Speech (Player),.............RUN.............,".............REN............. "
,.............RUN.............,,
,,,
241,Speech (Player),...-What in the world happened here?,...-Wat is er in de wereld hier gebeurd?
242,Speech (Player),HERE THEY COME .  HELP THEY SAW .  MY JOURNAL.,HIER KOMEN ZE. HELP ZE ZAGEN. MIJN DAGBOEK.
243,Hotspot,Page,Pagina
244,Hotspot,Page,Pagina
245,Hotspot,Page,Pagina
246,Hotspot,Page,Pagina
247,Hotspot,Page,Pagina
248,Hotspot,Page,Pagina
249,Hotspot,Jump,Springen
250,Hotspot,Pit,Gat
251,Hotspot,Pit,Gat
252,Hotspot,Page,Pagina
253,Speech (Player),Who is that? I can hear someone talking...,Wie is dat? Ik kan iemand horen praten
254,Speech (Unit 437),Halt!  Where do you think you're going?,Halt! Waar denk jij heen te gaan?
255,Speech (Unit 437),I am meant to chop you up and cook you for the master tomorrow.,Ik moet je hoofd eraf hebben en koken voor de meester morgen.
256,Speech (???),*Loud Yell*,*Harde Schreeuw*
257,Speech (Player),"Oh no, It knows I'm gone!","Oh nee, het weet dat ik weg ben!"
258,Speech (Player),I must get away quickly!,Ik moet snel wegkomen!
259,Speech (Player),I need to listen carefully...,Ik moet goed luisteren...
260,Speech (Player),"If I remember correctly, I was on the other side of this frozen lake when I was attacked.","Als ik het goed herinnerde, was ik aan de andere kant van dit bevroren meer toen ik aangevallen werd."
261,Speech (Player),I need to get my night vision camera before going to the outskirts.,Ik moet mijn nachtcamera krijgen voordat ik naar de buitenwijken gaat.
262,Speech (Player),It's so cold...,Het is zo koud...
263,Speech (Player),"Custard, this far up in the mountains?","Custard, zo ver in de bergen?"
264,Speech (Player),It's frozen now.,Het is nu bevroren.
265,Speech (Player),Trees are the only living things that can tolerate this climate.,"Bomen zijn de enige levende dingen die dit klimaat kunnen tolereren. "
266,Speech (Player),Who has been cutting down trees?,Wie heeft deze bomen afgesneden?
267,Speech (Player),No one has been up here for years...,Niemand is hier geweest...
268,Speech (Player),It's good to feel warmth again.,Het is goed om weer warm te voelen.
269,Speech (Player),The sooner I get out of here the better.,"Hoe eerder ik hier wegkom, hoe beter."
270,Speech (Player),Past this gate leads to the outskirts...  It appears to be locked with a chain.,Verleden tijd leidt deze poort naar de buitenwijken ... Het lijkt te zijn geblokkeerd met een ketting.
271,Speech (Player),I'll need to find something to break the chain with.,Ik moet iets vinden om de ketting te breken.
272,Speech (Player),I think I'm going to be sick...,Ik denk dat ik ziek ben...
273,Speech (Player),"Ok, I think I'm safe...","Ok, ik denk dat ik veilig ben"
274,Speech (Unit 437),Farewell.,Vaarwel.
275,Speech (Unit 437),I am chopping down wood for the masters fire.,Ik snijd hout af voor de meesters vuur.
276,Speech (Unit 437),I must cook the master some food before dawn.,Ik moet de meester wat eten voor het dageraad koken.
277,Speech (Player),Got it!,"Begrepen! "
278,Speech (Player),I should find my night vision camera before going to the outskirts.,Ik zou mijn nachtcamera moeten vinden voordat ik naar de buitenwijken gaat.
279,Speech (Unit 437),That is correct.,Dat is correct.
280,Speech (Player),"Oh my god, is that an eyeball?","Oh mijn god, is dat een oogbal?"
281,Speech (Player),I can't help but to think it's watching me...,Ik kan het niet helpen om te denken dat het me aan het kijken is ...
282,Speech (Unit 437),"So be it, once the master finds out you're gone it will hunt you down and kill you.","Zodra het de meester erachter komt dat je weg bent, zal het je jagen en je vermoorden."
283,Speech (Player),"Huh, an old pipe... Maybe I can use it to break open the chain on the gate.","Huh, een oude pijp ...Misschien kan ik het gebruiken om de ketting op de poort te openen."
284,Speech (Unit 437),"Yes, I believe you dropped it when the master took you.","Ja, ik geloof dat je het laat vallen toen de meester je nam."
285,Speech (Player),Uh... Hello...,Uh... Hallo...
286,Speech (Unit 437),Greetings.,Hallo.
287,Speech (Unit 437),Come... with you? The master will not like that at all.,Ga met je mee? De meester zal dat helemaal niet mooi vinden.
288,Speech (Unit 437),"I failed my directives once, I will not fail them again.","Ik heb een keer mijn richtlijnen mislukt, ik zal ze niet meer mislukken."
289,Speech (Unit 437),"Once the master finds out you're gone, it will hunt you down and kill you.","Zodra de meester weet dat je weg bent, zal het je jagen en je vermoorden."
290,Speech (Unit 437),"You will be, I'm afraid. Don't worry, I can make a very nice salsa. You will die, but will taste very good!","Jij zal zijn, ik ben bang. Maak je geen zorgen, ik kan een heel mooie salsa maken. Jij zal sterven, maar zal heel goed proeven!"
291,Speech (Player),Where am I?,Waar ben ik?
292,Speech (Unit 437),"I am Unit 437, a security droid created by the machines.","Ik ben Unit 437, een beveiligingsdroog gecreëerd door de machines."
293,Speech (Unit 437),My original directive was to kill the master before it escaped from the main land.,Mijn oorspronkelijke richtlijn was om de meester te doden voordat het uit het hoofdland ontsnapte.
294,Speech (Unit 437),"However, once I encountered the master I knew I was not capable of defeating it.","Echter, zodra ik de meester tegenkwam, wist ik dat ik het niet kon verslaan."
295,Speech (Unit 437),...I'm not very good at my job.,...Ik ben niet erg goed in mijn werk.
296,Speech (Unit 437),"At that point I knew I only had two choices.  To serve, or be destroyed.","Op dat moment wist ik dat ik maar twee keuzes had. Om te dienen, of te worden vernietigd."
297,Speech (Unit 437),I chose to serve.,Ik koos ervoor te serveren.
298,Speech (Unit 437),Now my directive is to build fires to keep the master warm.,Nu is mijn richtlijn om vuren te bouwen om de meester warm te houden.
299,Speech (Unit 437),I also cook the masters meals.  I keep the master alive.,Ik kook ook de meester maaltijden. Ik hou de meester in leven.
300,Speech (Player),I need to get out of here before I become food.,Ik moet hier wegkomen voordat ik voedsel word.
301,Speech (Unit 437),If you leave I'll have to inform the master that death is an inconvenience for you.,"Als u vertrekt, moet ik de meester informeren dat de dood een ongemak voor u is."
302,Speech (Unit 437),The master will be very angry.,De meester zal heel boos zijn.
303,Speech (Unit 437),"Please, the master will destroy me if it found out I let you go.","Alsjeblieft, de meester zal me vernietigen als het ontdekt dat ik je laat gaan."
